,manager_name,company_name,male_score,female_score,photo_urls
0,黄文倩,华夏基金管理有限公司,57.915,60.899,https://human.amac.org.cn/gs/photo/143875367236014387536723600.jpg
1,张泉,湘财基金管理有限公司,66.782,68.704,https://human.amac.org.cn/gs/photo/2212201557392350.gif
2,裴颖,红土创新基金管理有限公司,53.48,49.451,https://human.amac.org.cn/gs/photo/155927115283015592711528300.JPG
3,赵卓雄,南方基金管理股份有限公司,75.697,76.13,https://human.amac.org.cn/gs/photo/150176417435215017641743520.jpg
4,徐成,西藏东财基金管理有限公司,70.442,72.443,https://human.amac.org.cn/gs/photo/2011121050520658.jpg
5,邵闯,太平基金管理有限公司,68.601,72.139,https://human.amac.org.cn/gs/photo/159703594433215970359443320.jpg
6,陈双双,金鹰基金管理有限公司,72.863,67.156,https://human.amac.org.cn/gs/photo/146830004403014683000440300.jpg
7,刘瀚驰,富国基金管理有限公司,62.932,61.898,https://human.amac.org.cn/gs/photo/159490038886015949003888600.jpg
8,杨能,南方基金管理股份有限公司,79.0,79.853,https://human.amac.org.cn/gs/photo/152643780769415264378076940.jpg
9,娄周鑫,申万菱信基金管理有限公司,85.672,85.272,https://human.amac.org.cn/gs/photo/2107151046513656.jpg
10,吕智卓,兴华基金管理有限公司,60.167,57.206,https://human.amac.org.cn/gs/photo/143098386638918858.jpg
11,罗昊,汇添富基金管理股份有限公司,63.231,68.743,https://human.amac.org.cn/gs/photo/2001061131011051.jpg
12,成皓,富达基金管理（中国）有限公司,58.545,60.98,https://human.amac.org.cn/gs/photo/149801147743014980114774300.jpg
13,刘晗竹,嘉实基金管理有限公司,49.398,54.373,https://human.amac.org.cn/gs/photo/14309830760532815.jpg
14,王觉,国联安基金管理有限公司,75.365,77.832,https://human.amac.org.cn/gs/photo/145213113123114521311312310.jpg
15,周海栋,华商基金管理有限公司,67.256,67.52,https://human.amac.org.cn/gs/photo/146908494740914690849474090.JPG
16,林唐宇,华安基金管理有限公司,63.359,65.672,https://human.amac.org.cn/gs/photo/146353166786014635316678600.jpg
17,刘嗣兴,天弘基金管理有限公司,82.353,80.578,https://human.amac.org.cn/gs/photo/14309832914486967.jpg
18,张文琍,长信基金管理有限责任公司,60.695,60.79,https://human.amac.org.cn/gs/photo/143098363813413915.jpg
19,谷丹青,万家基金管理有限公司,65.317,65.309,https://human.amac.org.cn/gs/photo/147978087941214797808794120.jpg
20,马小东,上银基金管理有限公司,75.327,77.349,https://human.amac.org.cn/gs/photo/154209058421615420905842160.jpg
21,徐青,万家基金管理有限公司,73.127,77.305,https://human.amac.org.cn/gs/photo/2211011422110324.jpg
22,赵健,华泰保兴基金管理有限公司,53.695,56.491,https://human.amac.org.cn/gs/photo/147643005605814764300560580.jpg
23,丁鹏飞,国联基金管理有限公司,65.523,63.463,https://human.amac.org.cn/gs/photo/2006281237545635.jpg
24,冯焕,东方基金管理股份有限公司,77.954,81.913,https://human.amac.org.cn/gs/photo/2306300935262069.jpg
25,宝音,西藏东财基金管理有限公司,61.9,62.894,https://human.amac.org.cn/gs/photo/2410210905381249.jpg
26,武磊,富国基金管理有限公司,62.387,64.833,https://human.amac.org.cn/gs/photo/148291019079614829101907960.jpg
27,邵炜,东海基金管理有限责任公司,58.711,60.976,https://human.amac.org.cn/gs/photo/153811165198715381116519870.JPG
28,张韵,招商基金管理有限公司,60.364,59.221,https://human.amac.org.cn/gs/photo/144005997266714400599726670.jpg
29,于跃,中加基金管理有限公司,69.955,69.782,https://human.amac.org.cn/gs/photo/153614173590815361417359080.jpg
30,吴婷,国金基金管理有限公司,72.026,73.985,https://human.amac.org.cn/gs/photo/2208081411347410.jpg
31,陈倩,富国基金管理有限公司,59.681,60.074,https://human.amac.org.cn/gs/photo/2307101540329439.jpg
32,左金保,长信基金管理有限责任公司,62.87,65.345,https://human.amac.org.cn/gs/photo/143442263013614344226301360.jpg
33,萧嘉倩,鹏华基金管理有限公司,78.157,80.984,https://human.amac.org.cn/gs/photo/2401121130006719.jpeg
34,祁庆,浦银安盛基金管理有限公司,77.217,82.077,https://human.amac.org.cn/gs/photo/2311030917237917.jpg
35,王毕功,格林基金管理有限公司,77.45,83.247,https://human.amac.org.cn/gs/photo/2308171003374866.jpeg
36,刘宇涛,鑫元基金管理有限公司,58.407,57.948,https://human.amac.org.cn/gs/photo/144524431610114452443161010.jpg
37,寸思敏,创金合信基金管理有限公司,80.637,84.955,https://human.amac.org.cn/gs/photo/2208161459076880.jpg
38,吴玮,永赢基金管理有限公司,69.694,69.742,https://human.amac.org.cn/gs/photo/156326751630715632675163070.jpg
